product_id,category,unit_price,base_daily_demand,seasonality_amp,trend,current_stock,lead_time_days
P0001,Home & Kitchen,51.66,21.788227498598445,0.40055750587160444,0.00047887983557565015,199,14
P0002,Grocery,37.67,1.1695913252732177,0.11153121252070788,0.0002772521262842281,219,10
P0003,Home & Kitchen,61.92,2.1148099052799454,0.40377242595071916,-0.00011242346394397927,216,5
P0004,Home & Kitchen,18.75,17.398324451810996,0.4049983288913105,0.0006165144029097809,84,3
P0005,Home & Kitchen,63.87,21.214834590279963,0.3248770666848828,0.00013466525960199595,319,10
P0006,Electronics,770.88,15.568821944480433,0.2379995910112717,2.590085627449069e-05,350,3
P0007,Electronics,790.17,18.496172032983694,0.4856351733429729,-0.00021855088309250057,280,5
P0008,Electronics,736.22,16.98213655881992,0.3956488938538636,2.1939722890705962e-06,84,3
P0009,Apparel,93.69,13.545587905167856,0.31377050917927485,-0.00027203896058149526,228,3
P0010,Home & Kitchen,157.04,23.628485693391546,0.399432733244268,0.00046426342634367507,333,5
P0011,Grocery,26.07,13.944213805975618,0.5037200775820313,0.0006857004299158428,280,3
P0012,Electronics,220.95,11.017864075570696,0.21105390523536513,-0.00016814809593294888,221,7
P0013,Sports,81.59,17.71130254815492,0.45613529496222105,-0.0001371043770512601,489,3
P0014,Apparel,15.66,4.477476930189354,0.34472638013878154,0.000784215499521661,465,10
P0015,Apparel,98.35,20.594364957265213,0.4991725624922756,-0.00013421070163802755,236,14
P0016,Apparel,11.82,5.184794296119795,0.44546886905123295,0.0001254088809305912,387,3
P0017,Apparel,111.72,20.61333280482918,0.3776004057997312,0.0002826156361916072,51,3
P0018,Sports,220.53,22.53064623886185,0.5435432121325586,0.0005578631004433863,457,10
P0019,Apparel,83.59,24.367932082127616,0.24196048736873285,3.5900246378832814e-05,243,7
P0020,Beauty,68.45,21.38136185186027,0.4288064461501717,0.0003251394636690188,492,7
P0021,Sports,193.03,20.075471284999562,0.3513185465525961,0.00033459427308899506,497,3
P0022,Beauty,8.71,12.27866833578263,0.2397801708983793,0.000671843424492885,429,3
P0023,Beauty,77.51,10.242345486446206,0.5255683357584284,4.86142056719055e-05,177,5
P0024,Electronics,346.02,9.607522751107933,0.2270818245348694,2.481964726083264e-05,322,3
P0025,Electronics,576.86,22.91777326135531,0.3556711994304689,0.0002516679241559196,222,10
P0026,Electronics,103.21,11.523378952434086,0.43601306764759973,6.096793422220517e-05,235,14
P0027,Sports,46.85,13.533838241315305,0.4849967765493054,-6.259686975347247e-05,54,10
P0028,Sports,293.0,13.391208359228688,0.26147823647062296,0.0005747048142455741,368,7
P0029,Home & Kitchen,34.01,2.3966462922026466,0.5576068638132402,0.00018658745270421493,145,3
P0030,Beauty,57.0,6.945543748027779,0.27798633932563077,0.0005336307215108062,234,14
P0031,Sports,14.98,19.32074615209386,0.5034564885253897,8.093475319834094e-05,303,14
P0032,Grocery,26.13,21.555756188519734,0.42934681580947254,-0.0001207721302104273,329,5
P0033,Electronics,700.4,20.468900241664073,0.5103197378719777,0.0003885336371117301,114,3
P0034,Grocery,12.41,9.077301157329437,0.42786131769037106,0.0001239362830621216,139,5
P0035,Apparel,86.64,20.283542329236365,0.24101728628565325,-0.00010481650184230486,457,7
P0036,Electronics,598.74,6.726324634968164,0.4399223899501229,0.000513899636492112,404,3
P0037,Sports,122.87,1.2601036355271606,0.5526909882096318,-0.00019958465553525305,333,10
P0038,Apparel,20.09,23.708669029160568,0.49064802523560125,-0.00017518893778080714,230,5
P0039,Grocery,22.88,4.4318003692680605,0.4807553158587361,0.00038003986964788727,302,14
P0040,Grocery,35.89,21.715324527736094,0.5401799843192084,-3.9646286949713346e-05,376,3
P0041,Beauty,52.46,22.752505242273664,0.15559874115307568,0.00024188761471994512,190,5
P0042,Home & Kitchen,208.36,6.700155311019278,0.3001114464360124,0.0002254863799682505,458,3
P0043,Sports,22.59,23.191439925366303,0.5595578576393297,-2.1710815211834703e-05,196,10
P0044,Electronics,442.32,22.627792251783735,0.12272319017072894,9.0595085514534e-06,273,10
P0045,Home & Kitchen,106.24,9.648282284926438,0.22997493142713135,0.0001985649315117142,496,3
P0046,Electronics,282.15,23.795197919006178,0.46285975419418,0.00037475671552936895,499,5
P0047,Sports,296.31,4.610005386484676,0.39706535767606754,0.00011897994229412371,391,7
P0048,Apparel,14.05,17.601145532053888,0.3671731375147316,0.0005249018244169691,308,14
P0049,Beauty,22.43,7.593563128621811,0.20361382450402823,0.0006660427342271116,337,5
P0050,Home & Kitchen,126.91,20.593257645113496,0.5839868827199115,-0.00020275095429778874,300,3
P0051,Electronics,150.51,4.272915414082474,0.10727233283394097,8.564631468725671e-05,147,5
P0052,Sports,274.04,8.15102683700681,0.3618011380075056,0.0004674060586428098,334,10
P0053,Grocery,20.7,8.890038646900198,0.41670042715836286,-3.583981934398759e-05,420,3
P0054,Apparel,30.01,17.021385724504654,0.18615993560081492,-8.848207931046211e-05,452,14
P0055,Beauty,50.43,22.461214309502218,0.16437419914982196,6.310946464117102e-05,460,3
P0056,Grocery,25.86,7.645063555532889,0.5031006398965306,0.0005230856594220243,302,10
P0057,Sports,52.84,4.194806286099478,0.4435827527016656,0.0006288847398969917,412,10
P0058,Beauty,67.68,14.535162208452073,0.5203549929389656,-0.00020187523841673816,175,10
P0059,Electronics,717.9,13.890557003645146,0.3934205590104396,0.000519983421602763,418,10
P0060,Apparel,108.96,8.928363550741935,0.5668459118799373,-0.00029171220055251775,326,10
